,Store Name,Street Address,Borough,Year Awarded,Council District,NTA,2010 Census Bureau FIPS County Code,2010 NYC Borough Code,2010 Census Tract,PUMA,Code
171,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,27700.0,4003.0,BK35
172,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,27900.0,4003.0,BK35
173,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28100.0,4003.0,BK35
174,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28300.0,4003.0,BK35
175,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28502.0,4003.0,BK35
176,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28700.0,4003.0,BK35
177,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,28900.0,4003.0,BK35
178,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,29100.0,4003.0,BK35
179,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,29300.0,4003.0,BK35
180,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,29500.0,4003.0,BK35
181,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,37500.0,4003.0,BK35
182,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,37700.0,4003.0,BK35
183,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,37900.0,4003.0,BK35
184,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,38300.0,4003.0,BK35
185,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,38500.0,4003.0,BK35
186,AFS MARKET INC,1102 MYRTLE AVE,Brooklyn,2020.0,36.0,Stuyvesant Heights,47.0,3.0,38700.0,4003.0,BK35
187,CENTRAL ORGANIC,67 CENTRAL AVE,Brooklyn,2020.0,34.0,Bushwick South,47.0,3.0,28501.0,4002.0,BK78
